Project;Type;Platform;янв.13;фев.13;мар.13;апр.13;май.13;июн.13;июл.13;авг.13;сен.13;окт.13;ноя.13;дек.13;янв.14;фев.14;мар.14;апр.14;май.14;июн.14;июл.14;авг.14;сен.14;окт.14;ноя.14;дек.14;янв.15;фев.15;мар.15;апр.15;май.15;июн.15;июл.15;авг.15;сен.15;окт.15;ноя.15;дек.15;янв.16;фев.16;мар.16;апр.16;май.16;июн.16;июл.16;авг.16;сен.16;окт.16;ноя.16;дек.16;янв.17;фев.17;мар.17;апр.17;май.17;июн.17;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17;янв.18;фев.18;мар.18
Абакан;Франчайзи;Мобилка;8415;9740;12301;13564;15760;17358;20606;22158;23378;24854;26334;28706;30572;30277;33726;28207;31004;32745;37981;38303;33873;35781;36444;36946;39289;37988;39901;39526;41696;42748;48754;49801;45548;46051;45649;48248;50436;48537;49747;48672;50333;53524;61053;60780;56250;55533;54550;57548;61324;58709;61379;60714;64100;67305;78840;80199;71212;70201;69824;72439;73326;68653;73259
Абакан;Франчайзи;Онлайн;20701;24934;28353;19255;28180;17652;37400;39048;37562;43007;46156;46833;42879;40318;43247;32477;22524;19583;25182;30654;29519;33984;35067;37194;40532;44668;54468;71606;55408;58723;63145;61638;58872;63102;56472;62038;60047;62203;65651;61437;60471;63204;61099;64234;56010;59033;60070;61885;63526;62475;70459;63919;66224;63796;78772;87537;90661;92254;90285;95882;93730;95927;108039
Абакан;Франчайзи;ПК;14571;15286;17025;16928;16748;14962;16205;16180;15938;15884;15456;14906;14909;14722;15128;14779;14117;13897;14146;12606;13385;13792;13073;12741;12122;12384;12692;12154;11463;11421;11732;11486;11260;11344;11042;10540;9997;10351;10611;9883;9325;9201;9206;9341;8797;8795;8446;8119;7774;7582;7998;7385;7151;6678;6486;6574;6227;6446;6145;5793;5719;5590;5561
Актау;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26182;26058;27037;32259;35573;35260;40151
Актау;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9655;17899;23648;28317;39893;41476;46547
Актау;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;342;298;307;298;300;280;252
Алматы;Франчайзи;Мобилка;10030;11633;15438;18086;20557;23943;28110;33303;39628;46058;52291;60261;69513;72358;78979;102951;113826;119231;125872;140639;161110;166039;196839;205910;220698;229755;242887;248711;260465;270891;283105;307494;328894;337932;346356;359431;373137;379556;399725;405555;412470;421802;436001;473132;505682;526358;531723;551403;570888;575300;607283;625335;650876;677151;718261;774574;788954;800744;820360;836291;829317;828878;888518
Алматы;Франчайзи;Онлайн;104228;125200;144285;159338;173348;185543;195503;186653;189751;157462;170252;176805;195415;178969;167993;158227;175200;209821;193387;178935;189086;206422;226115;225628;238926;277670;303374;343741;313878;341264;350226;332635;328894;297471;221933;294119;322347;365365;357901;363405;361545;412874;389986;414326;412133;389995;380009;377457;412961;399045;418656;420048;441598;467072;527521;561614;557929;580836;594064;730273;730458;718653;753680
Алматы;Франчайзи;ПК;17021;17830;19871;22342;23431;23995;25401;26583;28330;29777;30602;31012;33545;34558;34954;34129;32362;31362;30223;28344;30339;30990;30520;29432;29377;28786;28141;27457;26163;25968;25564;25103;24991;25062;24493;23329;23151;23028;22383;21919;20961;20562;19785;19557;19483;19078;18560;17508;17428;16897;16595;16092;15453;14961;13928;14185;13731;13815;13581;12665;12781;12325;11595
Альметьевск;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12640;13837;16922;16627;19483;18856;20265;20924;21634;23066;25771;27640;25754;26473;26033;27872;29400;28826;29291;28285;28321;29186;31990;33055;31306;29905;28740;30124;32281;31373;32229;31918;33094;33934;38025;39892;37144;35828;35122;35657;37394;34531;36314
Альметьевск;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1318;3655;5227;6776;9176;11927;14541;17064;20694;18423;20198;19899;19343;21618;18629;21204;20668;21168;22155;20965;20996;21788;21741;23618;21038;21055;21495;22580;23273;22739;28733;23605;23630;24416;30619;36923;37868;39404;38874;41385;41934;41960;47033
Альметьевск;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1449;1647;1680;1665;1751;1779;1984;1975;1731;1785;1788;1835;1651;1871;1736;1721;1655;1706;1754;1646;1460;1505;1470;1488;1363;1407;1265;1260;1219;1149;1218;1193;1083;1053;1033;995;949;997;912;839;813;859;831
Армавир;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;9565;11064;14408;13134;13371;14183;13660;13152;14236;14286;14903;14779;15489;16163;17387;18566;16496;16746;16464;17431;17696;17651;17517;17110;17750;18406;19939;19990;18594;16859;15905;16705;18208;17944;18902;19031;19599;20162;22736;23479;21938;21191;20551;20962;21452;19512;20772
Армавир;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436;1124;2744;1787;2517;3422;4662;5794;6632;8751;11961;14723;16714;27181;18334;19841;19381;17897;18767;17744;20860;20276;20043;20708;19212;19996;21998;22249;22351;17999;18093;18998;20307;21487;21282;26114;20632;21862;22527;29865;34030;33800;35187;35494;38089;38664;37261;41565
Армавир;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;566;982;1057;1276;1118;1265;1409;1280;1275;1284;1312;1460;1412;1286;1374;1436;1395;1313;1390;1405;1249;1204;1277;1340;1245;1186;1128;1155;1146;1101;1082;1020;925;982;918;1005;917;855;796;777;821;776;735;712;699;674;709;745
Архангельск;Франчайзи;Мобилка;8960;10054;12769;13690;15475;16625;18135;20429;22316;23681;25499;28269;29114;28638;32251;36714;37888;38673;41546;42152;44032;46825;49010;50383;50969;50443;53279;52549;54224;57934;60213;62077;64039;66580;67124;71691;72223;72111;74781;74494;74159;75703;77091;79221;84441;86853;85082;88875;90645;90391;94999;94577;96410;97533;102230;106597;107246;109115;109402;112523;113848;110158;115995
Архангельск;Франчайзи;Онлайн;18660;23830;26103;30385;27710;31563;40723;44837;47879;47684;48359;50359;49138;45793;50241;35510;25434;23447;23022;24599;28902;35317;38111;39328;43655;52073;67336;70512;92623;76973;78060;76659;79726;87241;81227;88116;81738;85872;90535;85940;81054;83565;75217;77024;72943;73840;76013;81021;80212;79284;90001;84028;85072;79604;88581;94406;101861;109290;108257;117327;110983;110642;123359
Архангельск;Франчайзи;ПК;13998;14006;15056;14814;14006;13068;13013;12932;13133;13608;13540;13190;12987;12629;12992;12423;11500;11139;10819;10060;10689;11396;11121;11025;10556;10580;10886;10383;9703;9467;9433;9314;9340;9724;9539;9264;8831;9019;9099;8878;8178;7880;7466;7542;7509;7685;7454;7161;6845;6813;6923;6619;6266;5771;5370;5448;5431;5591;5459;5277;5109;4960;4934
Астана;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48336;56542;83203;96312;96696;105238;110795;123330;127753;138585;149235;167240;183047;193223;207249;213677;227987;244273;249269;272676;284876;307935;344846;397488;428435;412893;405010;419898;431336;431915;433731;464969
